"player.givenName","player.surname","opponent","predicted_disposals","line","model_odds","pb_odds","ev_pb"
"Jack","Hutchinson","GWS GIANTS",15.1,16,2.13051460089288,2.15,0.009145865087691
"Jacob","Farrow","Walyalup",18.2,22,4.16202254126734,4.2,0.0091247604634771
"Jarman","Impey","Narrm",24,18,1.09038252252469,1.1,0.0088202784588343
"Brayden","Cook","North Melbourne",19,20,2.1822480039818,2.2,0.00813472895189449
"Ben","Ainsworth","Western Bulldogs",17.9,20,2.8773138296214,2.9,0.00788449634692301
"Tim","Kelly","GWS GIANTS",23.9,23,1.63818639964429,1.65,0.00721138959417195
"Dan","Houston","Sydney Swans",23.6,16,1.03280725511918,1.04,0.00696426641580257
"Josh","Battle","Narrm",21.5,19,1.30155062827716,1.31,0.00649177338112833
"Izak","Rankine","North Melbourne",23.4,17,1.03354058379156,1.04,0.00624979445388256
"Jaxon","Prior","Walyalup",17.2,12,1.14299927147667,1.15,0.00612487575279441
"Christian","Petracca","Yartapuulti",25.7,17,1.03377077998943,1.04,0.00602572652579002
"Marcus","Windhager","Richmond",22.6,16,1.07361093870041,1.08,0.00595100242488913
"Tom","Papley","Collingwood",18.1,13,1.09388632311721,1.1,0.0055889508384824
"Tim","Kelly","GWS GIANTS",23.9,20,1.23316090946914,1.24,0.00554598388445687
"Tom","Papley","Collingwood",18.1,18,1.79048905128933,1.8,0.00531192788016338
"Izak","Rankine","North Melbourne",23.4,19,1.10441616762091,1.11,0.00505591328957371
"Jacob","Hopper","Euro-Yroke",21.8,16,1.05469207332108,1.06,0.00503267902849163
"Brayden","Maynard","Sydney Swans",21.1,13,1.03488853568102,1.04,0.00493914478974457
"Jack","Hutchinson","GWS GIANTS",15.1,15,1.82157227378214,1.83,0.00462662192390351
"Brayden","Cook","North Melbourne",19,18,1.62337244006942,1.63,0.00408258743772599
"Dan","Houston","Sydney Swans",23.6,23,1.6632681387429,1.67,0.00404736981385773
"Josh","Battle","Narrm",21.5,15,1.04595509727712,1.05,0.00386718582223494
"Rowan","Marshall","Richmond",17.8,13,1.1058978326709,1.11,0.00370935470521101
"Jarman","Impey","Narrm",24,16,1.03619380007431,1.04,0.00367325101290743
"Ed","Langdon","Hawthorn",21.2,22,2.14292563861786,2.15,0.00330126312115031
"Jacob","Farrow","Walyalup",18.2,12,1.08673036196132,1.09,0.00300869300530011
